Region and country of citizenship,2005,2006,2007,2008,2009,20101,2011,2012,2013,2014
REGION,,,,,,,,,,
Total,"32,003,435","33,667,328","37,149,651","39,381,928","36,231,554","46,471,569","53,082,286","53,887,286","61,052,260","74,930,606"
Africa,"395,734","394,163","426,922","474,160","452,693","485,110","508,489","573,184","645,919","757,181"
Asia,"8,157,755","8,371,244","8,781,480","8,795,236","7,820,986","9,404,375","10,027,386","11,062,760","12,230,911","13,307,053"
Europe,"12,950,441","12,792,122","13,993,051","15,931,641","14,559,083","14,692,093","15,481,558","15,710,015","16,167,460","17,376,441"
North America,"6,988,624","8,491,307","9,963,858","9,832,557","8,963,282","16,449,861","20,940,354","19,996,738","24,561,055","35,589,531"
Oceania,"997,175","1,039,872","1,067,258","1,127,444","1,065,909","1,290,993","1,513,963","1,618,337","1,770,569","1,822,058"
South America,"2,333,652","2,432,010","2,763,355","3,039,883","3,075,013","3,587,883","4,126,385","4,651,162","5,511,558","6,052,610"
Unknown,"180,054","146,610","153,727","181,007","294,588","561,254","484,151","275,090","164,788","25,732"
COUNTRY,,,,,,,,,,
Total,"32,003,435","33,667,328","37,149,651","39,381,928","36,231,554","46,471,569","53,082,286","53,887,286","61,052,260","74,930,606"
Afghanistan,"1,784","2,020","2,539","2,323","2,616","2,589","2,856","2,772","2,837","4,150"
Albania,"8,842","8,118","7,902","9,939","8,768","8,921","8,065","7,942","7,889","8,746"
Algeria,"4,406","4,633","5,151","6,215","6,491","6,319","7,545","8,402","9,558","12,465"
Andorra,825,858,912,"1,295",977,"1,152","1,217","1,176","1,271","1,611"
Angola,"4,807","5,206","6,235","6,509","7,147","7,557","8,293","10,592","12,617","14,715"
Antigua and Barbuda,"22,401","23,416","23,037","22,649","18,743","18,563","17,076","16,958","15,151","14,834"
Argentina,"256,680","275,778","337,511","383,803","395,781","482,637","566,010","646,929","744,864","768,469"
Armenia,"5,245","5,137","4,641","5,694","5,412","5,282","4,910","6,135","7,431","8,232"
Australia2,"702,108","750,504","813,558","867,121","834,000","1,037,672","1,246,091","1,331,669","1,453,814","1,480,170"
Austria,"156,511","157,474","168,857","201,070","201,339","209,633","219,476","232,276","237,429","247,122"
Azerbaijan,"2,570","3,142","3,839","4,591","4,938","5,596","5,623","6,464","7,162","7,347"
Bahamas,"284,825","351,244","368,687","332,571","282,172","276,899","254,335","251,759","244,650","240,451"
Bahrain,"3,593","3,701","4,334","5,287","4,500","5,549","5,560","6,181","7,341","8,849"
Bangladesh,"14,909","14,224","13,100","13,758","15,368","18,034","19,348","22,629","30,314","43,560"
Barbados,"58,826","60,494","62,107","65,434","57,993","62,971","60,445","59,032","58,558","61,052"
Belarus,"9,252","9,938","10,378","10,719","10,214","12,287","12,141","13,715","14,211","16,166"
Belgium,"220,043","219,727","248,107","306,492","281,736","293,762","306,730","310,111","315,611","334,279"
Belize,"24,730","26,195","27,131","26,747","25,867","25,081","23,273","24,184","25,327","26,577"
Benin,"1,932","2,375","2,326","2,910","2,585","2,804","2,887","3,056","2,821","3,266"
Bhutan,451,432,514,801,578,660,613,662,633,"1,034"
Bolivia,"31,606","31,341","39,206","41,622","40,408","44,761","43,893","44,658","50,838","55,100"
Bosnia and Herzegovina,"7,278","7,371","7,412","7,190","6,170","5,838","6,492","6,843","7,465","9,380"
Botswana,"2,102","1,906","2,228","2,564","2,349","2,386","2,587","2,580","2,381","2,623"
Brazil,"636,119","698,808","784,758","893,186","959,448","1,233,457","1,539,015","1,792,425","2,143,154","2,390,245"
Brunei,773,847,998,"1,216","1,110","1,217","1,448","1,747","2,022","2,106"
Bulgaria,"36,407","39,495","42,205","41,793","35,871","35,456","38,974","39,100","40,029","43,059"
Burkina Faso,"2,169","2,507","2,674","2,767","2,862","3,004","3,051","3,682","3,928","5,267"
Burma,"1,816","2,069","2,361","2,515","2,937","3,383","3,632","3,983","4,967","6,554"
Burundi,861,"1,098","1,059","1,052",960,"1,182","1,230","1,424","1,740","1,732"
Cambodia,"4,829","4,132","3,851","3,953","3,652","3,660","3,352","3,628","4,898","4,752"
Cameroon,"7,982","8,558","9,094","9,517","9,329","9,832","9,423","9,495","9,639","11,673"
Canada3,"231,171","247,828","276,399","285,359","291,642","1,428,931","1,868,179","1,466,120","4,445,881","13,254,972"
Cape Verde,"2,000","2,362","2,871","2,966","2,918","2,727","1,943","1,520","3,140","4,544"
Central African Republic,387,407,339,299,253,282,213,202,189,374
Chad,478,532,652,522,541,441,456,436,550,"1,190"
Chile,"134,593","141,658","157,973","169,166","152,676","174,645","203,206","209,144","245,792","279,754"
China4,"505,479","596,171","685,026","753,037","729,931","1,038,271","1,364,078","1,756,747","2,098,801","2,555,896"
Colombia,"412,271","443,781","492,957","527,451","511,071","592,362","613,354","669,392","830,891","985,073"
Comoros,106,90,63,106,92,90,114,123,158,247
Congo (Brazzaville)5,"3,223","3,017","2,764","2,950","2,724","2,806","3,509","4,198","2,859","2,324"
Congo (Kinshasa)6,192,477,996,"1,269","1,401","1,506","1,276","1,430","3,861","6,973"
Costa Rica,"160,273","158,216","176,882","195,459","176,284","189,999","192,350","197,136","207,840","228,996"
Cote d'Ivoire,"2,381","3,290","3,001","3,837","4,216","3,671","2,183","2,661","5,219","7,742"
Croatia,"22,413","23,141","25,435","27,772","26,461","26,056","26,761","26,452","26,905","29,808"
Cuba,"13,443","10,606","11,237","15,130","17,047","23,745","18,593","21,197","34,615","43,737"
Cyprus,"9,656","8,942","9,637","11,003","9,935","10,294","10,355","9,789","8,699","10,582"
Czech Republic,"45,671","47,169","52,411","59,805","77,395","76,951","90,654","95,229","100,056","115,080"
Denmark7,"212,501","228,269","261,192","310,371","298,098","309,372","323,255","327,854","324,608","351,910"
Djibouti,213,186,204,283,437,443,463,416,338,608
Dominica,"6,401","5,897","5,322","5,821","5,855","6,718","5,496","5,528","6,783","7,060"
Dominican Republic,"254,113","267,324","301,306","276,511","250,368","272,896","266,330","276,562","280,563","304,683"
East Timor,18,11,5,D,-,5,-,-,34,226
Ecuador,"161,243","163,917","179,450","174,104","177,441","205,174","228,159","230,644","268,332","337,494"
Egypt,"34,659","38,115","43,139","47,706","49,838","57,442","61,716","84,287","89,578","99,716"
El Salvador,"189,340","176,552","179,678","164,984","141,428","132,336","119,465","114,001","119,572","138,329"
Equatorial Guinea,179,290,272,379,562,523,598,641,"1,197","2,057"
Eritrea,"1,518","1,299","1,009",841,854,901,873,854,"1,528","2,583"
Estonia,"10,113","10,057","12,785","13,179","20,437","14,195","15,950","18,868","20,942","24,733"
Ethiopia,"7,656","9,096","10,964","12,468","12,116","12,321","13,183","15,336","16,884","18,276"
Fiji,"9,878","9,944","9,755","10,261","8,602","10,948","13,136","13,084","13,996","14,977"
Finland,"113,782","112,950","117,829","140,266","144,335","138,310","147,834","154,994","161,020","173,365"
France8,"1,309,842","1,192,209","1,414,627","1,711,342","1,683,372","1,696,767","1,845,227","1,913,551","1,959,424","2,115,350"
